142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142
169,170,126,127,127,127,127,127,128,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169
196,126,156,0,81,81,81,108,157,127,127,128,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196
142,153,0,297,513,513,513,270,81,81,108,157,128,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142
169,153,27,351,291,291,291,594,513,513,270,108,155,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169
196,153,27,351,291,291,291,291,291,540,432,135,155,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196
142,153,27,351,291,291,291,291,540,216,189,162,155,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142
169,153,27,351,291,291,291,291,459,135,129,129,157,128,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169,170,171,169
196,153,27,351,291,291,291,291,594,270,81,81,108,157,128,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196,197,198,196
142,153,54,243,405,405,567,291,291,594,513,513,270,108,155,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142,143,144,142
